model,target,subset,n,mae,rmse,r2
CrystalGNN,formation_energy_peratom,all_test,800,0.22307629832968814,0.3368613405989452,0.9000610535447553
CrystalGNN,optb88vdw_bandgap,all_test,800,0.39627664696774445,0.7977169588225957,0.6501041074794591
CrystalGNN,optb88vdw_bandgap,zero_gap_test,564,0.17839471176795077,0.48821885552258354,0.0
CrystalGNN,optb88vdw_bandgap,nonzero_gap_test,236,0.916977542953692,1.2599572262275416,0.5064618141462929
ExtraTrees,formation_energy_peratom,all_test,800,0.3395817246072822,0.490423149595944,0.7881763994834419
ExtraTrees,optb88vdw_bandgap,all_test,800,0.5058479283666655,0.9169242553254072,0.5377167935404503
ExtraTrees,optb88vdw_bandgap,zero_gap_test,564,0.26094875254398214,0.5101391973579703,0.0
ExtraTrees,optb88vdw_bandgap,nonzero_gap_test,236,1.0911154502479934,1.4926707715650116,0.3073127167005658
